source,target,type,voltage_kv,capacity_mva,length_km,reactance_pu,resistance_pu
IN-C02565-SS,IN-C02677-SS,sub_transmission,132,63,44.43,0.071096,0.014001
IN-C02566-SS,IN-C02763-SS,sub_transmission,132,63,6.19,0.009906,0.002522
IN-C02566-SS,IN-C03016-SS,sub_transmission,132,63,6.28,0.010052,0.001285
IN-C02567-SS,IN-C02575-SS,sub_transmission,132,63,5.43,0.008691,0.00161
IN-C02567-SS,IN-C02747-SS,sub_transmission,132,63,8.42,0.013473,0.003913
IN-C02568-SS,IN-C02718-SS,sub_transmission,132,63,6.92,0.011069,0.003046
IN-C02568-SS,IN-C02749-SS,sub_transmission,132,63,7.07,0.011313,0.002255
IN-C02569-SS,IN-C02673-SS,sub_transmission,132,63,9.05,0.014472,0.003875
IN-C02569-SS,IN-C02706-SS,sub_transmission,132,63,10.85,0.017361,0.002509
IN-C02570-SS,IN-C02824-SS,sub_transmission,132,63,7.62,0.012198,0.00156
IN-C02570-SS,IN-C02949-SS,sub_transmission,132,63,9.7,0.015512,0.003152
IN-C02571-SS,IN-C02887-SS,sub_transmission,132,63,3.02,0.004831,0.001284
IN-C02571-SS,IN-C02963-SS,sub_transmission,132,63,7.41,0.011848,0.002688
IN-C02572-SS,IN-C03019-SS,sub_transmission,132,63,50.13,0.080203,0.019448
IN-C02572-SS,IN-C02865-SS,sub_transmission,132,63,53.24,0.085186,0.010293
IN-C02573-SS,IN-C02954-SS,sub_transmission,132,63,5.85,0.009359,0.001938
IN-C02573-SS,IN-C02820-SS,sub_transmission,132,63,9.49,0.015182,0.004298
IN-C02574-SS,IN-C02786-SS,sub_transmission,132,63,3.17,0.005074,0.001367
IN-C02574-SS,IN-C02785-SS,sub_transmission,132,63,4.66,0.007455,0.001772
IN-C02575-SS,IN-C02747-SS,sub_transmission,132,63,11.97,0.019149,0.005322
IN-C02576-SS,IN-C02941-SS,sub_transmission,132,63,1.96,0.003133,0.0007
IN-C02576-SS,IN-C02659-SS,sub_transmission,132,63,9.17,0.014679,0.002586
IN-C02577-SS,IN-C02580-SS,sub_transmission,132,63,4.48,0.007164,0.001777
IN-C02578-SS,IN-C02904-SS,sub_transmission,132,63,1.62,0.002588,0.000636
IN-C02578-SS,IN-C02881-SS,sub_transmission,132,63,4.33,0.006929,0.001115
IN-C02579-SS,IN-C02817-SS,sub_transmission,132,63,3.11,0.004981,0.001177
IN-C02579-SS,IN-C02928-SS,sub_transmission,132,63,3.87,0.006198,0.001633
IN-C02580-SS,IN-C02728-SS,sub_transmission,132,63,2.19,0.003507,0.00075
IN-C02581-SS,IN-C02653-SS,sub_transmission,132,63,3.58,0.005734,0.001115
IN-C02581-SS,IN-C02692-SS,sub_transmission,132,63,4.05,0.006483,0.001426
IN-C02582-SS,IN-C02793-SS,sub_transmission,132,63,2.02,0.003236,0.000513
IN-C02582-SS,IN-C02811-SS,sub_transmission,132,63,6.18,0.009894,0.002714
IN-C02583-SS,IN-C02645-SS,sub_transmission,132,63,9.99,0.01598,0.002909
IN-C02583-SS,IN-C02768-SS,sub_transmission,132,63,10.32,0.016517,0.003752
IN-C02584-SS,IN-C02801-SS,sub_transmission,132,63,12.71,0.020344,0.003463
IN-C02584-SS,IN-C02647-SS,sub_transmission,132,63,21.91,0.035056,0.007186
IN-C02585-SS,IN-C02833-SS,sub_transmission,132,63,18.96,0.030334,0.004271
IN-C02585-SS,IN-C02938-SS,sub_transmission,132,63,22.55,0.036083,0.009762
IN-C02586-SS,IN-C02613-SS,sub_transmission,132,63,9.41,0.015058,0.002046
IN-C02586-SS,IN-C02922-SS,sub_transmission,132,63,13.41,0.021454,0.004986
IN-C02587-SS,IN-C02815-SS,sub_transmission,132,63,0.98,0.0016,0.0004
IN-C02587-SS,IN-C02932-SS,sub_transmission,132,63,29.43,0.047095,0.013499
IN-C02588-SS,IN-C02948-SS,sub_transmission,132,63,12.29,0.019667,0.00582
IN-C02589-SS,IN-C02742-SS,sub_transmission,132,63,5.98,0.009568,0.001496
IN-C02589-SS,IN-C02777-SS,sub_transmission,132,63,10.3,0.016475,0.002899
IN-C02590-SS,IN-C02893-SS,sub_transmission,132,63,8.37,0.013388,0.002904
IN-C02590-SS,IN-C02918-SS,sub_transmission,132,63,9.4,0.015038,0.002382
IN-C02591-SS,IN-C02988-SS,sub_transmission,132,63,9.03,0.014454,0.003739
IN-C02591-SS,IN-C03006-SS,sub_transmission,132,63,11.91,0.01906,0.004941
IN-C02592-SS,IN-C02606-SS,sub_transmission,132,63,15.86,0.025372,0.003207
IN-C02593-SS,IN-C02801-SS,sub_transmission,132,63,26.82,0.042908,0.007715
IN-C02594-SS,IN-C02711-SS,sub_transmission,132,63,3.59,0.005742,0.000848
IN-C02594-SS,IN-C02817-SS,sub_transmission,132,63,4.27,0.006827,0.001771
IN-C02595-SS,IN-C02879-SS,sub_transmission,132,63,10.36,0.01658,0.003971
IN-C02596-SS,IN-C03014-SS,sub_transmission,132,63,5.57,0.008909,0.001716
IN-C02596-SS,IN-C02635-SS,sub_transmission,132,63,9.01,0.014417,0.003507
IN-C02597-SS,IN-C02832-SS,sub_transmission,132,63,11.46,0.01833,0.002426
IN-C02597-SS,IN-C02836-SS,sub_transmission,132,63,22.67,0.036265,0.010177
IN-C02598-SS,IN-C03020-SS,sub_transmission,132,63,6.76,0.010822,0.001714
IN-C02598-SS,IN-C02934-SS,sub_transmission,132,63,10.67,0.017067,0.004757
IN-C02599-SS,IN-C02657-SS,sub_transmission,132,63,10.78,0.017244,0.004523
IN-C02599-SS,IN-C02952-SS,sub_transmission,132,63,15.8,0.025275,0.004671
IN-C02600-SS,IN-C02871-SS,sub_transmission,132,63,2.09,0.003346,0.000556
IN-C02600-SS,IN-C02873-SS,sub_transmission,132,63,3.15,0.00504,0.001298
IN-C02601-SS,IN-C02903-SS,sub_transmission,132,63,3.82,0.006114,0.00164
IN-C02601-SS,IN-C02936-SS,sub_transmission,132,63,6.39,0.010222,0.001847
IN-C02602-SS,IN-C03025-SS,sub_transmission,132,63,8.52,0.013635,0.00389
IN-C02602-SS,IN-C02874-SS,sub_transmission,132,63,12.62,0.020185,0.003951
IN-C02603-SS,IN-C02860-SS,sub_transmission,132,63,5.87,0.009394,0.00123
IN-C02603-SS,IN-C02822-SS,sub_transmission,132,63,7.32,0.011714,0.003223
IN-C02604-SS,IN-C02849-SS,sub_transmission,132,63,4.96,0.007929,0.002349
IN-C02604-SS,IN-C02664-SS,sub_transmission,132,63,5.61,0.008975,0.001781
IN-C02605-SS,IN-C02606-SS,sub_transmission,132,63,6.2,0.009924,0.002522
IN-C02605-SS,IN-C02783-SS,sub_transmission,132,63,8.69,0.013907,0.00279
IN-C02607-SS,IN-C02790-SS,sub_transmission,132,63,20.22,0.032345,0.007306
IN-C02607-SS,IN-C02733-SS,sub_transmission,132,63,21.68,0.034696,0.005531
IN-C02608-SS,IN-C02761-SS,sub_transmission,132,63,20.1,0.032162,0.008015
IN-C02609-SS,IN-C02673-SS,sub_transmission,132,63,5.27,0.008426,0.001392
IN-C02609-SS,IN-C02706-SS,sub_transmission,132,63,7.14,0.01142,0.001986
IN-C02610-SS,IN-C02661-SS,sub_transmission,132,63,4.91,0.007855,0.001709
IN-C02610-SS,IN-C02706-SS,sub_transmission,132,63,13.1,0.020952,0.003251
IN-C02611-SS,IN-C02957-SS,sub_transmission,132,63,8.31,0.013291,0.002321
IN-C02611-SS,IN-C02813-SS,sub_transmission,132,63,17.4,0.027847,0.004228
IN-C02612-SS,IN-C02758-SS,sub_transmission,132,63,3.15,0.005038,0.00133
IN-C02612-SS,IN-C02846-SS,sub_transmission,132,63,4.45,0.007123,0.001345
IN-C02613-SS,IN-C02922-SS,sub_transmission,132,63,11.16,0.017859,0.005298
IN-C02614-SS,IN-C02636-SS,sub_transmission,132,63,5.7,0.009121,0.002585
IN-C02614-SS,IN-C02783-SS,sub_transmission,132,63,14.89,0.023828,0.007016
IN-C02615-SS,IN-C02916-SS,sub_transmission,132,63,7.55,0.012076,0.002097
IN-C02615-SS,IN-C03024-SS,sub_transmission,132,63,9.56,0.015299,0.004356
IN-C02616-SS,IN-C02926-SS,sub_transmission,132,63,19.72,0.031549,0.006854
IN-C02616-SS,IN-C02792-SS,sub_transmission,132,63,23.39,0.037426,0.00672
IN-C02617-SS,IN-C02632-SS,sub_transmission,132,63,27.42,0.043873,0.005684
IN-C02618-SS,IN-C02978-SS,sub_transmission,132,63,2.04,0.003272,0.000873
IN-C02618-SS,IN-C02776-SS,sub_transmission,132,63,9.85,0.015755,0.004519
IN-C02619-SS,IN-C02803-SS,sub_transmission,132,63,10.1,0.016156,0.003988
IN-C02619-SS,IN-C02755-SS,sub_transmission,132,63,22.89,0.036628,0.00699
IN-C02620-SS,IN-C02628-SS,sub_transmission,132,63,3.03,0.004854,0.000975
IN-C02620-SS,IN-C02646-SS,sub_transmission,132,63,8.12,0.012989,0.002343
IN-C02621-SS,IN-C02775-SS,sub_transmission,132,63,0.69,0.0016,0.000215
IN-C02621-SS,IN-C03015-SS,sub_transmission,132,63,8.41,0.013455,0.003942
IN-C02622-SS,IN-C02901-SS,sub_transmission,132,63,8.83,0.014132,0.002102
IN-C02622-SS,IN-C03029-SS,sub_transmission,132,63,12.22,0.019559,0.004335
IN-C02623-SS,IN-C02784-SS,sub_transmission,132,63,6.61,0.010568,0.002655
IN-C02623-SS,IN-C03001-SS,sub_transmission,132,63,12.53,0.020048,0.002441
IN-C02624-SS,IN-C02977-SS,sub_transmission,132,63,9.08,0.014535,0.001833
IN-C02624-SS,IN-C02911-SS,sub_transmission,132,63,9.94,0.015902,0.00459
IN-C02625-SS,IN-C02631-SS,sub_transmission,132,63,32.09,0.051343,0.0145
IN-C02626-SS,IN-C02879-SS,sub_transmission,132,63,10.39,0.016626,0.002966
IN-C02627-SS,IN-C02781-SS,sub_transmission,132,63,9.27,0.014834,0.001894
IN-C02627-SS,IN-C02964-SS,sub_transmission,132,63,13.18,0.021093,0.004919
IN-C02628-SS,IN-C02646-SS,sub_transmission,132,63,5.12,0.008196,0.00144
IN-C02629-SS,IN-C02856-SS,sub_transmission,132,63,22.95,0.036715,0.004588
IN-C02630-SS,IN-C02822-SS,sub_transmission,132,63,28.11,0.044981,0.013414
IN-C02631-SS,IN-C03033-SS,sub_transmission,132,63,26.31,0.042088,0.005821
IN-C02632-SS,IN-C02801-SS,sub_transmission,132,63,18.97,0.030346,0.004917
IN-C02633-SS,IN-C03013-SS,sub_transmission,132,63,8.02,0.012824,0.003734
IN-C02633-SS,IN-C02795-SS,sub_transmission,132,63,9.07,0.014516,0.004346
IN-C02634-SS,IN-C02830-SS,sub_transmission,132,63,34.28,0.054854,0.011151
IN-C02635-SS,IN-C02750-SS,sub_transmission,132,63,3.8,0.006083,0.001286
IN-C02636-SS,IN-C02912-SS,sub_transmission,132,63,12.88,0.020606,0.003911
IN-C02637-SS,IN-C02662-SS,sub_transmission,132,63,6.9,0.011046,0.002521
IN-C02637-SS,IN-C02828-SS,sub_transmission,132,63,7.09,0.01135,0.002765
IN-C02638-SS,IN-C02915-SS,sub_transmission,132,63,11.85,0.018967,0.002762
IN-C02639-SS,IN-C02699-SS,sub_transmission,132,63,9.06,0.014495,0.003841
IN-C02639-SS,IN-C02721-SS,sub_transmission,132,63,9.46,0.015143,0.003736
IN-C02640-SS,IN-C02840-SS,sub_transmission,132,63,7.0,0.011194,0.00224
IN-C02640-SS,IN-C02752-SS,sub_transmission,132,63,10.21,0.016333,0.003104
IN-C02641-SS,IN-C02971-SS,sub_transmission,132,63,8.92,0.014269,0.003476
IN-C02641-SS,IN-C02816-SS,sub_transmission,132,63,14.87,0.023793,0.003614
IN-C02642-SS,IN-C03030-SS,sub_transmission,132,63,2.9,0.004645,0.001087
IN-C02642-SS,IN-C02967-SS,sub_transmission,132,63,6.15,0.009838,0.0019
IN-C02643-SS,IN-C02726-SS,sub_transmission,132,63,2.75,0.004407,0.001021
IN-C02643-SS,IN-C02746-SS,sub_transmission,132,63,9.23,0.014765,0.004215
IN-C02644-SS,IN-C02761-SS,sub_transmission,132,63,10.86,0.017376,0.003071
IN-C02647-SS,IN-C02668-SS,sub_transmission,132,63,17.2,0.027513,0.007857
IN-C02648-SS,IN-C02867-SS,sub_transmission,132,63,4.57,0.007312,0.00123
IN-C02648-SS,IN-C03018-SS,sub_transmission,132,63,13.9,0.022242,0.006434
IN-C02649-SS,IN-C02680-SS,sub_transmission,132,63,12.48,0.019966,0.004849
IN-C02650-SS,IN-C02970-SS,sub_transmission,132,63,3.57,0.005715,0.001713
IN-C02650-SS,IN-C02814-SS,sub_transmission,132,63,7.98,0.012775,0.003586
IN-C02651-SS,IN-C02998-SS,sub_transmission,132,63,8.43,0.01348,0.003236
IN-C02651-SS,IN-C02725-SS,sub_transmission,132,63,12.15,0.019438,0.00297
IN-C02652-SS,IN-C02859-SS,sub_transmission,132,63,4.06,0.006496,0.001833
IN-C02652-SS,IN-C02863-SS,sub_transmission,132,63,10.09,0.016149,0.00422
IN-C02653-SS,IN-C02692-SS,sub_transmission,132,63,1.91,0.003052,0.000861
IN-C02654-SS,IN-C03015-SS,sub_transmission,132,63,8.68,0.013896,0.002561
IN-C02654-SS,IN-C02958-SS,sub_transmission,132,63,10.02,0.016033,0.0047
IN-C02655-SS,IN-C03028-SS,sub_transmission,132,63,5.59,0.008943,0.00109
IN-C02655-SS,IN-C02846-SS,sub_transmission,132,63,6.25,0.009999,0.002748
IN-C02656-SS,IN-C02848-SS,sub_transmission,132,63,24.85,0.039765,0.010208
IN-C02656-SS,IN-C02838-SS,sub_transmission,132,63,41.24,0.065988,0.016229
IN-C02657-SS,IN-C02670-SS,sub_transmission,132,63,18.0,0.028799,0.003719
IN-C02658-SS,IN-C02724-SS,sub_transmission,132,63,7.55,0.012088,0.002146
IN-C02658-SS,IN-C02714-SS,sub_transmission,132,63,8.13,0.01301,0.002351
IN-C02659-SS,IN-C02941-SS,sub_transmission,132,63,8.35,0.013361,0.003678
IN-C02660-SS,IN-C02981-SS,sub_transmission,132,63,8.88,0.014203,0.004083
IN-C02660-SS,IN-C03038-SS,sub_transmission,132,63,30.6,0.048962,0.013865
IN-C02661-SS,IN-C02706-SS,sub_transmission,132,63,14.89,0.02382,0.004346
IN-C02662-SS,IN-C02741-SS,sub_transmission,132,63,4.44,0.007105,0.001873
IN-C02662-SS,IN-C02828-SS,sub_transmission,132,63,4.99,0.007979,0.001943
IN-C02663-SS,IN-C02875-SS,sub_transmission,132,63,5.07,0.008107,0.001831
IN-C02663-SS,IN-C03025-SS,sub_transmission,132,63,10.62,0.016992,0.003385
IN-C02664-SS,IN-C02849-SS,sub_transmission,132,63,4.46,0.007133,0.001999
IN-C02665-SS,IN-C02874-SS,sub_transmission,132,63,8.8,0.014084,0.002551
IN-C02666-SS,IN-C02959-SS,sub_transmission,132,63,12.99,0.020781,0.004132
IN-C02667-SS,IN-C02900-SS,sub_transmission,132,63,2.98,0.004776,0.000611
IN-C02667-SS,IN-C02701-SS,sub_transmission,132,63,12.81,0.020488,0.005537
IN-C02669-SS,IN-C03018-SS,sub_transmission,132,63,11.85,0.018964,0.002617
IN-C02669-SS,IN-C02807-SS,sub_transmission,132,63,12.21,0.019542,0.003903
IN-C02671-SS,IN-C02990-SS,sub_transmission,132,63,9.33,0.014929,0.002305
IN-C02672-SS,IN-C02734-SS,sub_transmission,132,63,10.47,0.016749,0.002399
IN-C02673-SS,IN-C02706-SS,sub_transmission,132,63,6.28,0.010041,0.00228
IN-C02674-SS,IN-C02862-SS,sub_transmission,132,63,2.94,0.004702,0.000606
IN-C02674-SS,IN-C02889-SS,sub_transmission,132,63,9.23,0.014769,0.002713
IN-C02675-SS,IN-C02770-SS,sub_transmission,132,63,2.14,0.003428,0.00087
IN-C02675-SS,IN-C03027-SS,sub_transmission,132,63,5.46,0.008734,0.002108
IN-C02676-SS,IN-C02853-SS,sub_transmission,132,63,4.92,0.007878,0.001859
IN-C02677-SS,IN-C02976-SS,sub_transmission,132,63,15.51,0.024819,0.007059
IN-C02677-SS,IN-C02957-SS,sub_transmission,132,63,18.78,0.030053,0.007211
IN-C02678-SS,IN-C02792-SS,sub_transmission,132,63,12.06,0.019295,0.005195
IN-C02679-SS,IN-C02851-SS,sub_transmission,132,63,5.9,0.009434,0.001214
IN-C02680-SS,IN-C02799-SS,sub_transmission,132,63,2.7,0.004322,0.001283
IN-C02681-SS,IN-C02955-SS,sub_transmission,132,63,13.35,0.021353,0.003669
IN-C02683-SS,IN-C02921-SS,sub_transmission,132,63,8.64,0.013821,0.003344
IN-C02683-SS,IN-C03012-SS,sub_transmission,132,63,16.02,0.025631,0.004073
IN-C02684-SS,IN-C02924-SS,sub_transmission,132,63,2.23,0.003567,0.000623
IN-C02684-SS,IN-C03023-SS,sub_transmission,132,63,10.41,0.016657,0.004162
IN-C02685-SS,IN-C02968-SS,sub_transmission,132,63,13.95,0.022324,0.003496
IN-C02687-SS,IN-C02896-SS,sub_transmission,132,63,11.98,0.01917,0.005396
IN-C02689-SS,IN-C02863-SS,sub_transmission,132,63,10.86,0.01738,0.002456
IN-C02689-SS,IN-C02893-SS,sub_transmission,132,63,11.0,0.017594,0.00299
IN-C02690-SS,IN-C02797-SS,sub_transmission,132,63,9.08,0.014529,0.002073
IN-C02691-SS,IN-C02796-SS,sub_transmission,132,63,6.27,0.01004,0.001262
IN-C02691-SS,IN-C02920-SS,sub_transmission,132,63,10.84,0.017352,0.002752
IN-C02693-SS,IN-C03027-SS,sub_transmission,132,63,8.05,0.012885,0.001652
IN-C02693-SS,IN-C02770-SS,sub_transmission,132,63,8.99,0.014387,0.00331
IN-C02694-SS,IN-C02912-SS,sub_transmission,132,63,9.55,0.015285,0.004509
IN-C02694-SS,IN-C02925-SS,sub_transmission,132,63,12.27,0.019634,0.003361
IN-C02695-SS,IN-C02795-SS,sub_transmission,132,63,9.43,0.015089,0.002006
IN-C02696-SS,IN-C02986-SS,sub_transmission,132,63,2.79,0.004457,0.000776
IN-C02696-SS,IN-C02850-SS,sub_transmission,132,63,8.05,0.012885,0.002969
IN-C02697-SS,IN-C03026-SS,sub_transmission,132,63,2.6,0.004157,0.000569
IN-C02697-SS,IN-C02712-SS,sub_transmission,132,63,6.98,0.011169,0.001785
IN-C02698-SS,IN-C02878-SS,sub_transmission,132,63,12.02,0.019233,0.004572
IN-C02699-SS,IN-C02997-SS,sub_transmission,132,63,15.59,0.024952,0.006949
IN-C02701-SS,IN-C02859-SS,sub_transmission,132,63,12.11,0.019373,0.004475
IN-C02702-SS,IN-C02913-SS,sub_transmission,132,63,8.41,0.013455,0.002037
IN-C02703-SS,IN-C02710-SS,sub_transmission,132,63,10.74,0.017185,0.003749
IN-C02703-SS,IN-C03006-SS,sub_transmission,132,63,11.29,0.018057,0.003292
IN-C02704-SS,IN-C02733-SS,sub_transmission,132,63,2.45,0.003925,0.001001
IN-C02704-SS,IN-C02790-SS,sub_transmission,132,63,5.12,0.008187,0.002322
IN-C02705-SS,IN-C02985-SS,sub_transmission,132,63,4.32,0.006904,0.001681
IN-C02705-SS,IN-C03037-SS,sub_transmission,132,63,16.18,0.025884,0.004692
IN-C02707-SS,IN-C02935-SS,sub_transmission,132,63,13.21,0.021134,0.00271
IN-C02708-SS,IN-C03027-SS,sub_transmission,132,63,7.72,0.012348,0.002344
IN-C02709-SS,IN-C02894-SS,sub_transmission,132,63,12.47,0.019956,0.002514
IN-C02709-SS,IN-C02953-SS,sub_transmission,132,63,15.95,0.025526,0.004936
IN-C02710-SS,IN-C02809-SS,sub_transmission,132,63,12.72,0.020355,0.004226
IN-C02711-SS,IN-C02817-SS,sub_transmission,132,63,7.85,0.01256,0.003634
IN-C02712-SS,IN-C03026-SS,sub_transmission,132,63,5.93,0.009494,0.001162
IN-C02713-SS,IN-C02731-SS,sub_transmission,132,63,13.82,0.022115,0.00273
IN-C02713-SS,IN-C02926-SS,sub_transmission,132,63,16.72,0.02676,0.005962
IN-C02714-SS,IN-C02724-SS,sub_transmission,132,63,5.77,0.009227,0.002673
IN-C02716-SS,IN-C02930-SS,sub_transmission,132,63,11.17,0.017867,0.005067
IN-C02718-SS,IN-C02782-SS,sub_transmission,132,63,7.3,0.011673,0.002551
IN-C02719-SS,IN-C02825-SS,sub_transmission,132,63,3.99,0.00638,0.00085
IN-C02719-SS,IN-C02777-SS,sub_transmission,132,63,5.64,0.00903,0.001712
IN-C02720-SS,IN-C02729-SS,sub_transmission,132,63,2.67,0.004271,0.00085
IN-C02721-SS,IN-C02993-SS,sub_transmission,132,63,6.31,0.010098,0.001689
IN-C02721-SS,IN-C02992-SS,sub_transmission,132,63,8.31,0.013301,0.003459
IN-C02722-SS,IN-C02903-SS,sub_transmission,132,63,12.62,0.020185,0.005676
IN-C02723-SS,IN-C02743-SS,sub_transmission,132,63,2.4,0.003835,0.001148
IN-C02723-SS,IN-C02905-SS,sub_transmission,132,63,6.31,0.010101,0.002123
IN-C02725-SS,IN-C02861-SS,sub_transmission,132,63,1.42,0.002275,0.000557
IN-C02725-SS,IN-C02814-SS,sub_transmission,132,63,8.85,0.014166,0.002019
IN-C02726-SS,IN-C02746-SS,sub_transmission,132,63,6.54,0.010456,0.002929
IN-C02727-SS,IN-C02742-SS,sub_transmission,132,63,16.2,0.02592,0.004127
IN-C02727-SS,IN-C02877-SS,sub_transmission,132,63,16.44,0.026308,0.004075
IN-C02728-SS,IN-C02898-SS,sub_transmission,132,63,6.18,0.009887,0.002696
IN-C02730-SS,IN-C02918-SS,sub_transmission,132,63,4.7,0.007514,0.001317
IN-C02731-SS,IN-C03003-SS,sub_transmission,132,63,19.32,0.030906,0.007597
IN-C02732-SS,IN-C02935-SS,sub_transmission,132,63,7.27,0.011636,0.003463
IN-C02733-SS,IN-C02790-SS,sub_transmission,132,63,2.67,0.004273,0.001176
IN-C02735-SS,IN-C02805-SS,sub_transmission,132,63,2.45,0.003922,0.000485
IN-C02735-SS,IN-C02806-SS,sub_transmission,132,63,5.5,0.008795,0.001677
IN-C02736-SS,IN-C02855-SS,sub_transmission,132,63,8.37,0.013385,0.002711
IN-C02737-SS,IN-C02738-SS,sub_transmission,132,63,1.34,0.002145,0.00055
IN-C02737-SS,IN-C02984-SS,sub_transmission,132,63,7.36,0.011781,0.003209
IN-C02738-SS,IN-C02984-SS,sub_transmission,132,63,6.31,0.010088,0.001817
IN-C02739-SS,IN-C02938-SS,sub_transmission,132,63,7.98,0.012769,0.001551
IN-C02740-SS,IN-C02748-SS,sub_transmission,132,63,4.66,0.007455,0.00111
IN-C02740-SS,IN-C02888-SS,sub_transmission,132,63,6.58,0.010534,0.001924
IN-C02741-SS,IN-C02828-SS,sub_transmission,132,63,6.01,0.009624,0.001174
IN-C02742-SS,IN-C02777-SS,sub_transmission,132,63,13.63,0.021811,0.004554
IN-C02743-SS,IN-C02905-SS,sub_transmission,132,63,7.18,0.011492,0.003417
IN-C02744-SS,IN-C02835-SS,sub_transmission,132,63,3.76,0.00601,0.00106
IN-C02744-SS,IN-C02843-SS,sub_transmission,132,63,3.9,0.006247,0.000896
IN-C02745-SS,IN-C02746-SS,sub_transmission,132,63,0.58,0.0016,0.000305
IN-C02748-SS,IN-C02888-SS,sub_transmission,132,63,4.7,0.007523,0.00129
IN-C02749-SS,IN-C02972-SS,sub_transmission,132,63,2.73,0.004371,0.000886
IN-C02750-SS,IN-C02819-SS,sub_transmission,132,63,6.45,0.010323,0.001712
IN-C02751-SS,IN-C02928-SS,sub_transmission,132,63,8.56,0.013689,0.003077
IN-C02751-SS,IN-C02817-SS,sub_transmission,132,63,9.02,0.014433,0.003363
IN-C02752-SS,IN-C02840-SS,sub_transmission,132,63,10.51,0.016813,0.004019
IN-C02753-SS,IN-C03032-SS,sub_transmission,132,63,8.54,0.013661,0.003048
IN-C02753-SS,IN-C02864-SS,sub_transmission,132,63,12.49,0.019977,0.005199
IN-C02754-SS,IN-C02755-SS,sub_transmission,132,63,1.42,0.002269,0.000362
IN-C02754-SS,IN-C02923-SS,sub_transmission,132,63,3.02,0.004827,0.000772
IN-C02755-SS,IN-C02923-SS,sub_transmission,132,63,4.43,0.007094,0.001274
IN-C02756-SS,IN-C02847-SS,sub_transmission,132,63,13.85,0.022165,0.00304
IN-C02756-SS,IN-C02996-SS,sub_transmission,132,63,14.3,0.022888,0.002809
IN-C02757-SS,IN-C02867-SS,sub_transmission,132,63,12.74,0.020392,0.005337
IN-C02757-SS,IN-C02923-SS,sub_transmission,132,63,13.31,0.021303,0.004747
IN-C02758-SS,IN-C02846-SS,sub_transmission,132,63,1.59,0.002536,0.000598
IN-C02758-SS,IN-C02845-SS,sub_transmission,132,63,2.01,0.00321,0.000901
IN-C02759-SS,IN-C02870-SS,sub_transmission,132,63,12.19,0.019506,0.005286
IN-C02760-SS,IN-C02945-SS,sub_transmission,132,63,9.59,0.015347,0.00197
IN-C02761-SS,IN-C02979-SS,sub_transmission,132,63,15.59,0.024947,0.004091
IN-C02762-SS,IN-C02937-SS,sub_transmission,132,63,10.81,0.017299,0.00406
IN-C02762-SS,IN-C02956-SS,sub_transmission,132,63,16.52,0.026427,0.007733
IN-C02763-SS,IN-C03016-SS,sub_transmission,132,63,4.68,0.007485,0.001647
IN-C02765-SS,IN-C02896-SS,sub_transmission,132,63,22.76,0.036424,0.007085
IN-C02766-SS,IN-C03025-SS,sub_transmission,132,63,25.5,0.040803,0.006756
IN-C02766-SS,IN-C02902-SS,sub_transmission,132,63,25.61,0.040972,0.005019
IN-C02769-SS,IN-C02920-SS,sub_transmission,132,63,9.61,0.01537,0.004297
IN-C02770-SS,IN-C03027-SS,sub_transmission,132,63,4.37,0.006995,0.000986
IN-C02771-SS,IN-C03038-SS,sub_transmission,132,63,9.31,0.014891,0.002816
IN-C02771-SS,IN-C02951-SS,sub_transmission,132,63,21.47,0.034351,0.006868
IN-C02772-SS,IN-C02876-SS,sub_transmission,132,63,2.01,0.003218,0.000846
IN-C02773-SS,IN-C02789-SS,sub_transmission,132,63,17.13,0.027409,0.00633
IN-C02774-SS,IN-C02778-SS,sub_transmission,132,63,2.98,0.004775,0.000579
IN-C02774-SS,IN-C02779-SS,sub_transmission,132,63,9.42,0.015068,0.004239
IN-C02775-SS,IN-C02906-SS,sub_transmission,132,63,8.25,0.013197,0.002378
IN-C02776-SS,IN-C02942-SS,sub_transmission,132,63,3.44,0.005504,0.001627
IN-C02776-SS,IN-C02978-SS,sub_transmission,132,63,9.38,0.015011,0.004266
IN-C02777-SS,IN-C02825-SS,sub_transmission,132,63,9.3,0.014883,0.002681
IN-C02778-SS,IN-C02779-SS,sub_transmission,132,63,9.4,0.015042,0.004178
IN-C02781-SS,IN-C02973-SS,sub_transmission,132,63,11.8,0.018872,0.004176
IN-C02782-SS,IN-C03036-SS,sub_transmission,132,63,3.54,0.005664,0.001485
IN-C02783-SS,IN-C02999-SS,sub_transmission,132,63,7.43,0.011883,0.002587
IN-C02784-SS,IN-C03001-SS,sub_transmission,132,63,9.98,0.015963,0.002845
IN-C02785-SS,IN-C02786-SS,sub_transmission,132,63,1.51,0.002417,0.000536
IN-C02787-SS,IN-C03002-SS,sub_transmission,132,63,1.94,0.003112,0.000478
IN-C02787-SS,IN-C03004-SS,sub_transmission,132,63,4.31,0.0069,0.00104
IN-C02788-SS,IN-C02990-SS,sub_transmission,132,63,5.07,0.008111,0.002049
IN-C02788-SS,IN-C02958-SS,sub_transmission,132,63,6.59,0.01055,0.00273
IN-C02789-SS,IN-C02950-SS,sub_transmission,132,63,10.61,0.01698,0.00299
IN-C02790-SS,IN-C02838-SS,sub_transmission,132,63,5.07,0.008109,0.00155
IN-C02791-SS,IN-C02960-SS,sub_transmission,132,63,10.6,0.016956,0.00274
